snapshot_utc,league_id,roster_id,owner_id,owner_display_name,team_name,is_my_roster,players_count,starters_count,reserve,taxi,co_owners,settings,metadata
2026-09-15T23:59:18+00:00,1370218620990263296,8,725564023889817600,Shaboomaboom,,False,30,10,[],"[""12455"", ""12471"", ""12476"", ""12492"", ""12530""]",[],"{""fpts"": 149, ""fpts_against"": 125, ""fpts_against_decimal"": 36, ""fpts_decimal"": 24, ""locked"": 0, ""losses"": 0, ""ppts"": 194, ""ppts_decimal"": 20, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 10, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1370218620990263296,9,1225654710162182144,Spoonfed7,,False,29,10,"[""12541""]","[""11557"", ""12467"", ""12502"", ""13288"", ""13418""]",[],"{""fpts"": 154, ""fpts_against"": 95, ""fpts_against_decimal"": 10, ""fpts_decimal"": 96, ""losses"": 0, ""ppts"": 173, ""ppts_decimal"": 66, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 1, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1370218620990263296,10,1087855749369339904,JimmyJames2027,,False,30,10,[],"[""13301"", ""13319"", ""13329"", ""13408"", ""13421""]",[],"{""fpts"": 153, ""fpts_against"": 159, ""fpts_against_decimal"": 80, ""fpts_decimal"": 40, ""losses"": 1, ""ppts"": 171, ""ppts_decimal"": 24, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 7, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370218620990263296,11,214141231750443008,TmillerTMG,The J-Squad,False,29,10,[],"[""13270"", ""13282"", ""13320"", ""13324"", ""13413""]",[],"{""fpts"": 153, ""fpts_against"": 114, ""fpts_against_decimal"": 28, ""fpts_decimal"": 50, ""losses"": 0, ""ppts"": 185, ""ppts_decimal"": 0, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 4, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1370218620990263296,12,895461742359175168,sabatz,Sabatz,False,31,10,"[""12484""]","[""11596"", ""11643"", ""12504"", ""12535"", ""13299""]",[],"{""fpts"": 164, ""fpts_against"": 196, ""fpts_against_decimal"": 2, ""fpts_decimal"": 26, ""losses"": 1, ""ppts"": 186, ""ppts_decimal"": 66, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 20, ""waiver_position"": 11, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,1,779583277362245632,Blatzzy,Route 66ers,True,31,9,[],"[""13272"", ""13282"", ""13337"", ""13349"", ""13353"", ""13421""]",[],"{""fpts"": 172, ""fpts_against"": 169, ""fpts_against_decimal"": 76, ""fpts_decimal"": 76, ""losses"": 0, ""ppts"": 206, ""ppts_decimal"": 76, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 10, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1366076769534251008,2,1126612181929336832,cburt31,,False,29,9,[],"[""12483"", ""12505"", ""13301"", ""13402""]",[],"{""fpts"": 128, ""fpts_against"": 96, ""fpts_against_decimal"": 16, ""fpts_decimal"": 88, ""losses"": 0, ""ppts"": 198, ""ppts_decimal"": 36, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 1, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1366076769534251008,3,996120627872493568,Felici42,Jesus is God Amen!,False,30,9,[],"[""12500"", ""12510"", ""13333"", ""13348"", ""13403""]",[],"{""fpts"": 198, ""fpts_against"": 152, ""fpts_against_decimal"": 46, ""fpts_decimal"": 6, ""losses"": 0, ""ppts"": 217, ""ppts_decimal"": 86, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 8, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1366076769534251008,4,1127380007921328128,ArogersAchilles,,False,31,9,[],"[""12521"", ""13275"", ""13296"", ""13324"", ""13434"", ""13477""]",[],"{""fpts"": 121, ""fpts_against"": 119, ""fpts_against_decimal"": 56, ""fpts_decimal"": 74, ""losses"": 0, ""ppts"": 183, ""ppts_decimal"": 80, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 9, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1366076769534251008,5,861663770647339008,jblatz,,False,31,9,"[""11638"", ""8205""]","[""12495"", ""12536"", ""13303"", ""13425""]",[],"{""fpts"": 119, ""fpts_against"": 121, ""fpts_against_decimal"": 74, ""fpts_decimal"": 56, ""losses"": 1, ""ppts"": 145, ""ppts_decimal"": 92, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 4, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,6,770802446909222912,zthompson1533,,False,29,9,[],"[""12471"", ""13278"", ""13302"", ""13317""]",[],"{""fpts"": 169, ""fpts_against"": 172, ""fpts_against_decimal"": 76, ""fpts_decimal"": 76, ""losses"": 1, ""ppts"": 215, ""ppts_decimal"": 36, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 2, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,7,779583497248550912,manson1,Manson,False,30,9,[],"[""12467"", ""12511"", ""13417"", ""13420"", ""13423""]",[],"{""fpts"": 152, ""fpts_against"": 198, ""fpts_against_decimal"": 6, ""fpts_decimal"": 46, ""losses"": 1, ""ppts"": 181, ""ppts_decimal"": 46, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 6, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,8,609154836893601792,Stutterboyzzzz,,False,30,9,[],"[""13289"", ""13329"", ""13336"", ""13380"", ""13405"", ""13414""]",[],"{""fpts"": 164, ""fpts_against"": 166, ""fpts_against_decimal"": 16, ""fpts_decimal"": 4, ""losses"": 1, ""ppts"": 215, ""ppts_decimal"": 10, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 7, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,9,1128535741111402496,TheANT2,,False,30,9,[],"[""11597"", ""12476"", ""12498"", ""12541"", ""13281"", ""13404""]",[],"{""fpts"": 96, ""fpts_against"": 128, ""fpts_against_decimal"": 88, ""fpts_decimal"": 16, ""losses"": 1, ""ppts"": 130, ""ppts_decimal"": 86, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 3, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1366076769534251008,10,854202549119594496,GOOBERTON,,False,30,9,[],[],[],"{""fpts"": 166, ""fpts_against"": 164, ""fpts_against_decimal"": 4, ""fpts_decimal"": 16, ""losses"": 0, ""ppts"": 185, ""ppts_decimal"": 66, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 5, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
