snapshot_utc,source_dt,sleeper_id,gsis_id,player,position,nfl_team,kr_rank,pr_rank,return_roles,offensive_depth_position,offensive_depth_rank,dual_role_offense_return,baseline_games,baseline_kr_yards,baseline_pr_yards,projected_kr_yards_per_game,projected_pr_yards_per_game,projected_return_td_per_game,projection_source,confidence,redraft_ecr,my_leagues,my_starting_leagues,free_agent_leagues,offensive_role_source,injury_status,practice_participation
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12531,00-0040644,Trevor Etienne,RB,CAR,1,1,KR+PR,,,False,17,733.0,163.0,43.1,9.6,0.0,2025 weekly player stats,HIGH,302.76,,,,none detected,IR,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,10234,00-0038573,Derius Davis,WR,LAC,1,1,KR+PR,,,False,11,464.0,77.0,42.2,7.0,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11608,00-0039451,Isaiah Williams,WR,NYJ,2,1,KR+PR,,,False,15,837.0,396.0,19.5,26.4,0.0,2025 weekly player stats,HIGH,301.6,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,10878,00-0039000,Deonte Banks,DB,NYG,1,,KR,,,False,14,622.0,0.0,44.4,0.0,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11617,00-0039920,Malachi Corley,WR,CLE,1,,KR,,,False,12,492.0,0.0,41.0,0.0,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,6588,00-0035544,Tom Kennedy,WR,DET,2,1,KR+PR,,,False,6,447.0,50.0,26.1,8.3,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11994,00-0039589,Kameron Johnson,WR,TB,2,1,KR+PR,,,False,17,685.0,291.0,14.1,17.1,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13533,00-0041099,Barion Brown,WR,NO,1,1,KR+PR,,,False,0,0.0,0.0,22.0,7.0,0.0,role-based fallback,MEDIUM,316.0,18-Team Chopped — Surviving the Chamber,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11616,00-0039365,Jacob Cowing,WR,SF,1,1,KR+PR,,,False,0,0.0,0.0,22.0,7.0,0.0,role-based fallback,MEDIUM,347.67,,,,none detected,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13491,00-0041397,Kaden Wetjen,WR,PIT,1,1,KR+PR,,,False,0,0.0,0.0,22.0,7.0,0.0,role-based fallback,MEDIUM,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11623,00-0039751,Jordan Whittington,WR,LAR,1,,KR,,,False,15,434.0,0.0,28.9,0.0,0.0,2025 weekly player stats,HIGH,345.0,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12971,00-0040534,Ke'Shawn Williams,WR,CIN,3,1,KR+PR,,,False,11,628.0,207.0,8.6,18.8,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8414,00-0037132,Britain Covey,WR,PHI,3,1,KR+PR,,,False,6,125.0,124.0,3.1,20.7,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11306,00-0038496,Xavier Gipson,WR,NYG,5,1,KR+PR,,,False,6,319.0,86.0,8.0,14.3,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12641,00-0040164,Jaylin Lane,WR,WAS,2,1,KR+PR,,,False,15,56.0,314.0,1.3,20.9,0.0,2025 weekly player stats,HIGH,348.61,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8359,00-0037253,Marcus Jones,DB,NE,,1,PR,,,False,17,0.0,363.0,0.0,21.4,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12547,00-0040131,Kyle Williams,WR,NE,1,,KR,,,False,14,290.0,0.0,20.7,0.0,0.0,2025 weekly player stats,HIGH,275.03,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12699,00-0040075,LaJohntay Wester,WR,BAL,2,1,KR+PR,,,False,14,246.0,198.0,6.2,14.1,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
