snapshot_utc,source_dt,team,slot,starter,sleeper_id,depth_rank,health_bucket,risk_weight,status_detail,official_injury_report_available
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIA,LT,Patrick Paul,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIA,LG,Kadyn Proctor,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIA,C,Aaron Brewer,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIA,RG,Jonah Savaiinaea,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIA,RT,Austin Jackson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIN,LT,Christian Darrisaw,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIN,LG,Donovan Jackson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIN,C,Blake Brandel,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIN,RG,Will Fries,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,MIN,RT,Brian O'Neill,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NE,LT,Will Campbell,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NE,LG,Alijah Vera-Tucker,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NE,C,Jared Wilson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NE,RG,Mike Onwenu,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NE,RT,Morgan Moses,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,NO,LT,Kelvin Banks Jr.,,1,UNMAPPED,0.15,,False
