snapshot_utc,league_id,roster_id,owner_id,is_my_roster,player_id,full_name,position,fantasy_positions,nfl_team,status,injury_status,injury_body_part,practice_participation,practice_description,depth_chart_position,depth_chart_order,active,starter,reserve,taxi
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,2449,Stefon Diggs,WR,"[""WR""]",WAS,Active,,,,,RWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,5022,Dallas Goedert,TE,"[""TE""]",PHI,Active,,,,,TE,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,6904,Jalen Hurts,QB,"[""QB""]",PHI,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,7021,Rico Dowdle,RB,"[""RB""]",PIT,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,7526,Jaylen Waddle,WR,"[""WR""]",DEN,Active,,,,,RWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,7553,Kyle Pitts,TE,"[""TE""]",ATL,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,8112,Drake London,WR,"[""WR""]",ATL,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,8167,Christian Watson,WR,"[""WR""]",GB,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,8180,Jalen Nailor,WR,"[""WR""]",LV,Active,,,,,SWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,9226,De'Von Achane,RB,"[""RB""]",MIA,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,DEN,Denver Broncos,DEF,"[""DEF""]",DEN,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,11564,Drake Maye,QB,"[""QB""]",NE,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,11646,Jalen Coker,WR,"[""WR""]",CAR,Active,,,,,SWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,12506,Harold Fannin,TE,"[""TE""]",CLE,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,13294,Makai Lemon,WR,"[""WR""]",PHI,Active,,,,,SWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,1945,Chris Boswell,K,"[""K""]",PIT,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,3214,Hunter Henry,TE,"[""TE""]",NE,Active,,,,,TE,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,4034,Christian McCaffrey,RB,"[""RB""]",SF,Active,Questionable,Undisclosed,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,5859,A.J. Brown,WR,"[""WR""]",NE,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,6790,D'Andre Swift,RB,"[""RB""]",CHI,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,7523,Trevor Lawrence,QB,"[""QB""]",JAX,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,7569,Nico Collins,WR,"[""WR""]",HOU,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,7611,Rhamondre Stevenson,RB,"[""RB""]",NE,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,9487,Parker Washington,WR,"[""WR""]",JAX,Active,,,,,SWR,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,9500,Josh Downs,WR,"[""WR""]",IND,Active,Questionable,Undisclosed,,,SWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,6,996322180944277504,False,SEA,Seattle Seahawks,DEF,"[""DEF""]",SEA,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,11604,Brock Bowers,TE,"[""TE""]",LV,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,2133,Davante Adams,WR,"[""WR""]",LAR,Active,,,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,2747,Jason Myers,K,"[""K""]",SEA,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,3294,Dak Prescott,QB,"[""QB""]",DAL,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,4046,Patrick Mahomes,QB,"[""QB""]",KC,Active,Questionable,Knee - ACL,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,4866,Saquon Barkley,RB,"[""RB""]",PHI,Active,,,,,RB,1,True,True,False,False
