league_id,league,sleeper_id,player,position,nfl_team,return_roles,dual_role_offense_return,return_projection_points,confidence,roster_state,offensive_depth_rank,offensive_depth_position,offensive_role_source,injury_status,practice_participation
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8125,Calvin Austin III,WR,NYG,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12540,Chimere Dike,WR,TEN,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7039,Cody White,WR,SEA,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12829,Coleman Owen,WR,IND,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,4274,David Moore,WR,CAR,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,10878,Deonte Banks,DB,NYG,KR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,10234,Derius Davis,WR,LAC,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6847,Devin Duvernay,WR,ARI,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12476,Devin Neal,RB,NO,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6130,Devin Singletary,RB,NYG,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13264,Dohnte Meyers,WR,CIN,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12734,Donte Kent,DB,PIT,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,PUP,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7587,Dyami Brown,WR,WAS,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11574,Dylan Laube,RB,LV,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12542,Efton Chism III,WR,NE,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13268,Elijah Sarratt,WR,BAL,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,10223,Eric Gray,RB,NYG,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12048,George Holani,RB,SEA,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6699,Gunner Olszewski,WR,NYG,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7559,Ihmir Smith-Marsette,WR,ARI,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11651,Isaac Guerendo,RB,SF,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,PUP,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12503,Isaiah Bond,WR,CLE,PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11608,Isaiah Williams,WR,NYJ,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11616,Jacob Cowing,WR,SF,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6798,Jalen Reagor,WR,MIA,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12925,Jamaal Pritchett,WR,NYJ,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12641,Jaylin Lane,WR,WAS,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7666,Jevon Holland,DB,NYG,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12523,Jimmy Horn Jr.,WR,CAR,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8147,John Metchie III,WR,CAR,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,10225,Jonathan Mingo,WR,DAL,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12634,Jordan Watkins,WR,SF,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11623,Jordan Whittington,WR,LAR,KR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8714,Josh Blackwell,DB,CHI,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13394,Josh Cameron,WR,JAX,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8254,Julius Chestnut,RB,TEN,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8917,KaVontae Turpin,WR,DAL,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8755,Kaden Davis,WR,CHI,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13491,Kaden Wetjen,WR,PIT,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,3634,Kalif Raymond,WR,CHI,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11994,Kameron Johnson,WR,TB,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12971,Ke'Shawn Williams,WR,CIN,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12670,KeAndre Lambert-Smith,WR,LAC,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7720,Kene Nwangwu,RB,NYJ,KR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13338,Kevin Coleman Jr.,WR,MIA,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12547,Kyle Williams,WR,NE,KR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12699,LaJohntay Wester,WR,BAL,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11650,Luke McCaffrey,WR,WAS,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11617,Malachi Corley,WR,CLE,KR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8359,Marcus Jones,DB,NE,PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,9494,Marvin Mims Jr.,WR,DEN,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11895,Mason Tipton,WR,NO,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,PUP,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11693,Max Melton,DB,ARI,PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8076,Michael Bandy,WR,DEN,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13075,Myles Price,WR,MIN,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11320,Nikko Remigio,WR,KC,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6271,Olamide Zaccheaus,WR,ATL,KR+PR,False,0.0,LOW,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11638,Ricky Pearsall,WR,SF,PR,False,0.0,LOW,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12482,Savion Williams,WR,GB,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11729,Sione Vaki,RB,DET,KR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
