league_id,roster_id,is_my_roster,player_id,player,position,nfl_team,keeper_round,keeper_cost_source,redraft_ecr,market_round,round_surplus,keeper_value_score,idp_projection_proxy
1359546418284494848,6,False,8131,Isaiah Likely,TE,NYG,13,draft round,118.57,10,3,33.5,
1359546418284494848,8,False,12501,Matthew Golden,WR,GB,14,draft round,124.75,11,3,33.0,
1359546418284494848,2,False,8121,Romeo Doubs,WR,NE,14,draft round,126.88,11,3,32.8,
1359546418284494848,4,False,8167,Christian Watson,WR,GB,7,draft round,55.73,5,2,32.5,
1359546418284494848,3,False,5862,Brian Burns,DE,NYG,8,draft round,62.38,6,2,32.0,11.93
1359546418284494848,3,False,9488,Jaxon Smith-Njigba,WR,SEA,2,draft round,4.61,1,1,30.6,
1359546418284494848,11,False,6813,Jonathan Taylor,RB,IND,2,draft round,11.82,1,1,30.1,
1359546418284494848,6,False,8138,James Cook,RB,BUF,3,draft round,14.97,2,1,29.8,
1359546418284494848,11,False,4070,T.J. Watt,LB,PIT,8,draft round,72.0,6,2,29.7,11.81
1359546418284494848,8,False,8130,Trey McBride,TE,ARI,3,draft round,18.5,2,1,29.5,
1359546418284494848,9,False,7567,Kenny Gainwell,RB,TB,11,draft round,98.34,9,2,29.1,
1359546418284494848,6,False,10222,Jayden Reed,WR,GB,11,draft round,103.17,9,2,28.7,
1359546418284494848,10,False,3163,Jared Goff,QB,DET,11,draft round,105.55,9,2,28.6,
1359546418284494848,11,False,9997,Zay Flowers,WR,BAL,4,draft round,29.64,3,1,28.6,
1359546418284494848,12,False,9756,Jordan Addison,WR,MIN,11,draft round,107.99,9,2,28.4,
1359546418284494848,9,False,5022,Dallas Goedert,TE,PHI,12,draft round,119.37,10,2,27.5,
1359546418284494848,7,False,12534,Kyle Monangai,RB,CHI,13,draft round,120.02,11,2,27.4,
1359546418284494848,11,False,6770,Joe Burrow,QB,CIN,5,draft round,44.89,4,1,27.4,
1359546418284494848,7,False,5927,Terry McLaurin,WR,WAS,5,draft round,47.68,4,1,27.2,
1359546418284494848,2,False,11566,Jayden Daniels,QB,WAS,6,draft round,56.6,5,1,26.5,
1359546418284494848,6,False,6904,Jalen Hurts,QB,PHI,6,draft round,57.19,5,1,26.4,
1359546418284494848,8,False,9487,Parker Washington,WR,JAX,6,draft round,58.52,5,1,26.3,
1359546418284494848,11,False,11620,Rome Odunze,WR,CHI,6,draft round,58.87,5,1,26.3,
