player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
12489,RJ Harvey,RB,DEN,True,Active,,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8136,Rachaad White,RB,WAS,True,Active,Questionable,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7611,Rhamondre Stevenson,RB,NE,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7021,Rico Dowdle,RB,PIT,True,Active,,,RB,1,OPP,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,2,False,False
4866,Saquon Barkley,RB,PHI,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5967,Tony Pollard,RB,TEN,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
12529,TreVeyon Henderson,RB,NE,True,Active,Questionable,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11604,Brock Bowers,TE,LV,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
12517,Colston Loveland,TE,CHI,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5022,Dallas Goedert,TE,PHI,True,Active,,,TE,1,OPP,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,2,False,False
10236,Dalton Kincaid,TE,BUF,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
4217,George Kittle,TE,SF,True,Active,Questionable,,TE,1,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
12506,Harold Fannin,TE,CLE,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
3214,Hunter Henry,TE,NE,True,Active,,,TE,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
